hotel_name,rating,total_review,hotel_star,price,facility_pool,facility_wifi,facility_breakfast,facility_beach_access,facility_spa,coordinate,image,cluster_hotel
Loccal Collection Hotel,4.2,905,4-star hotel,1930000,Yes,Yes,Yes,Yes,Yes,"-8.483960342450034, 119.87987822532138",https://lh5.googleusercontent.com/proxy/tP_a7CV2MpcFqFpUyyPhTnpjolVoLHVMa2UV_v3ImSxaEFgUkZnkgUkj4d0GJih7mpPTcR8zx9V5CLU0LDsWNfQJxr4KS76UwDGnbeCCxkKCAcAKiYKa1wCrWvW84GftATi-FgjUzbI1aGA8tPKI43LXiZ6B2gk=w408-h306-k-no,King
Sunset Hill Hotel,4.1,277,3-star hotel,627000,No,Yes,Yes,No,No,"-8.481018332731258, 119.8836460253213",https://lh5.googleusercontent.com/p/AF1QipOlUq86vr3sptPWMBlVe8zszdyViEyPFvcfayyE=w408-h270-k-no,Deluxe
Plataran Komodo Resort & Spa,4.7,562,5-star hotel,4510000,Yes,Yes,Yes,Yes,Yes,"-8.456531325825136, 119.87045562532123",https://lh5.googleusercontent.com/p/AF1QipNpwaTIaJrz5WAPUIO75_I3Hp0i9iGUxQo1yZzc=w408-h272-k-no,King
Meruorah Komodo Labuan Bajo,4.7,488,5-star hotel,2930000,Yes,Yes,No,Yes,Yes,"-8.490100723667199, 119.87555714066441",https://lh3.googleusercontent.com/proxy/gCR1_7pRHG2Fj1ZevlRIOssGmYH3iSu1hiCJj3VcwUZrbikeX_55q-XI8Lt1Wc1COeGWnSYIMyh88A30jELcKqGB_FpGSUqrSOccbFCxIcBOg_FEkHw2QXClsylxlsc218fwgFen8NsopWnO0KX2f9Z8-6qFA9o=w427-h240-k-no,King
Sylvia Beach Villa,4.2,79,3-star hotel,569000,Yes,Yes,Yes,Yes,No,"-8.4621296653001, 119.87294071182824",https://lh3.googleusercontent.com/proxy/3fr3w7YvmcM97oq6E4qBSHLO7sLtQrkFiOdliE1f8HCV9UbVNB6pTwwsxhWrpVGSgKH2oUMrLnoirD7IDwn5hx0y7onJe4gjlAQH-dZRtiPXZATH3f1Mm7yewP1Ro4japg3yiiqmHJBJfkbI8EQlZxM7Xj4YY-A=w427-h240-k-no,Deluxe
AYANA Komodo Resort,4.8,2192,5-star hotel,4390000,Yes,Yes,Yes,Yes,Yes,"-8.467415214884218, 119.874280488684",https://lh5.googleusercontent.com/p/AF1QipOEVLnD_VM_tPFV0Grdc4uU1DBhccHFOFrtMp-X=w408-h271-k-no,King
Komodo Lodge,4,276,3-star hotel,553000,No,Yes,Yes,No,No,"-8.489410345759678, 119.87724966765006",https://lh5.googleusercontent.com/p/AF1QipNj2TBkzrLsi5RiSXYtU1BokFq2PEHWxqQzo8xD=w426-h240-k-no,Deluxe
Sylvia Resort Komodo,4.2,1304,3-star hotel,588000,Yes,Yes,Yes,Yes,No,"-8.461880904993642, 119.87247238299263",https://lh6.googleusercontent.com/proxy/z1vEOTBXGn-ypgKSJzCgmyoNeeQH9kTDqHhzPakfHjth88AwHxAgpu6cQZKJDRberZ-CockCPHf_8-qlAmmC3Mq2grvHzQH4TcxRgUJ1MObhR8bF6SFIQWo5N_dP_aHINVE7RMfRH2OgJvKcd66O7StfTZKRbQ=w408-h270-k-no,Deluxe
Blue Parrot Komodo,4.3,68,2-star hotel,641000,No,Yes,Yes,No,No,"-8.486161555151792, 119.87809580997853",https://lh5.googleusercontent.com/p/AF1QipPxEhAxzWgfN0Ai4hQHhz7EkAnjHW97e95xXJjM=w424-h240-k-no,Deluxe
Waecicu Eden Beach Hotel,3.8,93,3-star hotel,893000,No,Yes,No,Yes,No,"-8.454805075862845, 119.86895454066402",https://lh4.googleusercontent.com/proxy/pxH_rnYLcq5QpsbkTw5Woqm7cNQeqxuxaM4Q1z-ffF79kBExKr2_7NPwNgjuO5cmmuBlbp2zjCEirA4g-_KngRQQCr7Pw9srCni-g-BuayfKTPRqc_sQXse6-JmXJUlEXVnbHx33wDHFXcSPfkKo7GitPZZZMPQ=w408-h306-k-no,Deluxe
Blue Marlin Dive Komodo,4.4,408,4-star hotel,874000,Yes,Yes,No,Yes,No,"-8.495517538364656, 119.87870918299315",https://lh5.googleusercontent.com/p/AF1QipN182Ij2A1EitMVZyv3jYMiS8lIq9oXTdNLS-la=w408-h271-k-no,Deluxe
